Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,149.8,152.48,146.55,150.1,6188400,150.1,0.0,150.1,150.1
2014-01-03,2014,1,3,Friday,00,2014-00,150.0,152.19,148.6,149.56,4695000,149.56,-0.003597658380836144,149.82999999999998,149.82999999999998
2014-01-06,2014,1,6,Monday,01,2014-01,150.0,150.4,145.24,147.0,5361100,147.0,-0.017116860125588107,148.88666666666666,148.88666666666666
2014-01-07,2014,1,7,Tuesday,01,2014-01,147.62,150.4,145.25,149.36,5034100,149.36,0.016054425920758897,149.005,149.005
2014-01-08,2014,1,8,Wednesday,01,2014-01,148.85,153.7,148.76,151.28,6163200,151.28,0.01285483503681939,149.45999999999998,149.45999999999998
2014-01-09,2014,1,9,Thursday,01,2014-01,152.5,153.43,146.85,147.53,5382000,147.53,-0.024788471908113174,149.13833333333332,149.13833333333332
2014-01-10,2014,1,10,Friday,01,2014-01,148.46,148.9,142.25,145.72,7446100,145.72,-0.012268674666645163,148.65,148.65
2014-01-13,2014,1,13,Monday,02,2014-02,145.78,147.0,137.82,139.34,6316100,139.34,-0.04378262990232573,147.48624999999998,147.48624999999998
2014-01-14,2014,1,14,Tuesday,02,2014-02,140.5,162.0,136.67,161.27,27607000,161.27,0.1573848752040401,149.01777777777775,149.01777777777775
2014-01-15,2014,1,15,Wednesday,02,2014-02,168.45,172.23,162.1,164.13,20465600,164.13,0.01773423782837935,150.529,150.529
2014-01-16,2014,1,16,Thursday,02,2014-02,162.5,172.7,162.4,170.97,11959400,170.97,0.041674259028837035,152.38727272727272,152.38727272727272
2014-01-17,2014,1,17,Friday,02,2014-02,170.19,173.2,167.95,170.01,9206200,170.01,-0.00561505940815854,153.85583333333332,153.85583333333332
2014-01-21,2014,1,21,Tuesday,03,2014-03,171.24,177.29,170.81,176.68,9734700,176.68,0.039232976792297425,155.61153846153846,155.61153846153846
2014-01-22,2014,1,22,Wednesday,03,2014-03,177.81,180.32,174.76,178.56,7022600,178.56,0.010640734439368194,157.2507142857143,157.2507142857143
2014-01-23,2014,1,23,Thursday,03,2014-03,177.23,182.38,173.42,181.5,7867400,181.5,0.016465067661313615,159.49357142857144,158.86733333333333
2014-01-24,2014,1,24,Friday,03,2014-03,177.85,180.48,173.53,174.6,7664300,174.6,-0.03801649529743456,161.28214285714287,159.850625
2014-01-27,2014,1,27,Monday,04,2014-04,175.16,177.92,164.71,169.62,8716400,169.62,-0.02852239869553963,162.89785714285716,160.42529411764707
2014-01-28,2014,1,28,Tuesday,04,2014-04,171.5,178.98,171.0,178.38,6093400,178.38,0.05164491226151058,164.9707142857143,161.42277777777778
2014-01-29,2014,1,29,Wednesday,04,2014-04,175.3,179.09,173.13,175.23,5935500,175.23,-0.017658981214530467,166.68142857142857,162.14947368421053
2014-01-30,2014,1,30,Thursday,04,2014-04,178.0,184.78,177.01,182.84,8565000,182.84,0.043428641190998984,169.20357142857142,163.18400000000003
2014-01-31,2014,1,31,Friday,04,2014-04,178.85,186.0,178.51,181.41,6508800,181.41,-0.007821005821607052,171.75285714285715,164.05190476190478
2014-02-03,2014,2,3,Monday,05,2014-05,182.89,184.88,175.16,177.11,6764900,177.11,-0.023703230058728764,174.45071428571427,164.64545454545456
2014-02-04,2014,2,4,Tuesday,05,2014-05,180.7,181.6,176.2,178.73,4686300,178.73,0.00914683028403096,175.69785714285715,165.25782608695653
2014-02-05,2014,2,5,Wednesday,05,2014-05,178.3,180.59,169.36,174.42,7268000,174.42,-0.02411457316411525,176.43285714285713,165.63958333333335
2014-02-06,2014,2,6,Thursday,05,2014-05,176.3,180.11,176.0,178.38,5841600,178.38,0.022703857100327962,176.96214285714288,166.1492
2014-02-07,2014,2,7,Friday,05,2014-05,181.01,186.63,179.6,186.53,8928500,186.53,0.04568894311802807,178.14214285714291,166.93307692307692
2014-02-10,2014,2,10,Monday,06,2014-06,189.34,199.3,189.32,196.56,12970700,196.56,0.053771505092671035,179.5621428571429,168.0303703703704
2014-02-11,2014,2,11,Tuesday,06,2014-06,198.97,202.2,192.7,196.62,10709900,196.62,0.0003052378883747764,180.85214285714292,169.0514285714286
2014-02-12,2014,2,12,Wednesday,06,2014-06,195.78,198.27,194.32,195.32,5173700,195.32,-0.006611676458408766,181.83928571428578,169.95724137931035
2014-02-13,2014,2,13,Thursday,06,2014-06,193.34,202.72,193.25,199.63,8029300,199.63,0.022066339325082174,183.62714285714293,170.94633333333334
2014-02-14,2014,2,14,Friday,06,2014-06,198.1,201.88,197.0,198.23,6158000,198.23,-0.007013019691580302,185.67071428571438,171.8264516129032
2014-02-18,2014,2,18,Tuesday,07,2014-07,205.24,206.0,201.36,203.7,9332800,203.7,0.02759421550016805,187.4792857142858,172.8225
2014-02-19,2014,2,19,Wednesday,07,2014-07,203.7,203.7,193.41,193.64,16169000,193.64,-0.049386341233720654,188.79428571428576,173.45333333333335
