Year,Week_Number,mean_return,volatility,label
2014,0,-0.18,0.254558441,
2014,1,-0.5056,1.83922587,
2014,2,3.3476,7.609905735,
2014,3,0.708,3.249860612,
2014,4,0.8214,3.674889087,
2014,5,0.5946,3.021918315,
2014,6,1.2506,2.592887348,
2014,7,1.51925,5.595229657,
2014,8,3.3116,6.477307411,
2014,9,0.1304,2.010864938,
2014,10,-1.2456,2.466491699,
2014,11,-0.1628,2.124858513,
2014,12,-1.4584,2.66247184,
2014,13,0.0828,4.909483293,
2014,14,-0.757,3.594949443,
2014,15,-0.67925,2.438713783,
2014,16,0.2698,4.921485924,
2014,17,1.0978,1.933031091,
2014,18,-2.7428,5.666358196,
2014,19,1.0094,1.51371936,
2014,20,1.598,1.255715334,
2014,21,0.064,1.411458111,
2014,22,0.0432,1.097435966,
2014,23,-0.1614,1.351384586,
2014,24,2.2152,4.109825386,
2014,25,0.829,2.096768585,
2014,26,-1.02375,2.193821988,
2014,27,-0.9772,1.759107927,
2014,28,0.2042,2.80917972,
2014,29,0.3222,0.652770021,
2014,30,0.8784,2.522184926,
2014,31,1.2636,2.293036916,
2014,32,1.1088,1.903887392,
2014,33,-0.3998,0.820805519,
2014,34,0.992,1.173487537,
2014,35,0.75425,3.628498255,
2014,36,0.1358,1.181336404,
2014,37,-1.3786,4.584157589,
2014,38,-0.9878,1.782420601,
2014,39,0.7122,2.43957982,
2014,40,-1.4182,3.759872431,
2014,41,-0.7792,2.689868528,
2014,42,0.6834,1.611738285,
2014,43,0.667,5.635786414,
2014,44,-0.0916,2.887366845,
2014,45,1.506,1.794695657,
2014,46,-1.2418,2.151320687,
2014,47,0.18525,1.331020755,
2014,48,-1.745,2.096239132,
2014,49,-1.5214,2.172145207,
2014,50,1.2164,3.778712916,
2014,51,0.96575,1.376380852,
2014,52,-0.795666667,0.81931211,
2015,0,-1.394,0,
2015,1,-1.166,1.922190417,
2015,2,-1.321,2.717351008,
2015,3,1.05825,1.667523988,
2015,4,0.2544,2.551284245,
2015,5,1.3366,2.257893111,
2015,6,-1.2658,2.050789287,
2015,7,1.609,1.713703008,
2015,8,-1.2808,2.279748605,
2015,9,-0.9282,2.230753281,
2015,10,-0.5344,1.3914233,
2015,11,1.0034,2.568406374,
2015,12,-1.3382,2.142566848,
2015,13,0.81475,1.914821554,
2015,14,2.027,2.541205521,
2015,15,-0.3918,0.516530928,
2015,16,1.1222,2.313478053,
2015,17,0.7276,3.238850074,
2015,18,0.9286,1.545569086,
2015,19,1.0184,1.164074439,
2015,20,-0.0866,0.816291798,
2015,21,0.3115,0.881492106,
2015,22,-0.129,0.96190618,
